DD-CONNECT,大興電子通信株式会社,IT/通信/インターネット系,東京都新宿区揚場町2-1 軽子坂MNビル,19億69百万円,松山 晃一郎,501～1000人,https://www.daikodenshi.jp/,1953年12月,"['AppGuard', 'i-Compass WEB給与明細', 'PROCURESUITE', 'EdiGate／POST', 'rBOM', 'KeepData Hub', 'DAiKO OCR with AI inside', 'DAiKO RPA Powered by おまかせRPA', 'DD-CONNECT', 'DD-CONNECT']"
楽楽精算,株式会社ラクス,IT/通信/インターネット系,東京都渋谷区千駄ヶ谷5-27-11アグリスクエア新宿,"3億7,837万8千円",中村崇則,1000人以上,https://www.rakus.co.jp/,2000年11月,[]
マネーフォワード クラウド経費,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝,約86億円,辻 庸介,501～1000人,,2012年5月,"['マネーフォワード クラウド請求書', 'マネーフォワード クラウド給与', 'マネーフォワードクラウド勤怠', '【BOXILEXPO】株式会社マネーフォワード_マネーフォワードクラウド人事向け', '【BOXILEXPO】株式会社マネーフォワード_マネーフォワードクラウド財務向け', '【BOXILEXPO】株式会社マネーフォワード_労務・勤怠管理サービス_ マネーフォワード給与・勤怠', 'マネーフォワード クラウド給与', 'マネーフォワード クラウド人事管理', 'マネーフォワード クラウド社会保険', 'マネーフォワード クラウド年末調整']"
kincone,株式会社ソウルウェア,IT/通信/インターネット系,東京都〒171-0021 東京都豊島区西池袋1-11-1メトロポリタンプラザビル14F,,吉田超夫,11～30人,https://soulware.jp/,2012年12月,[]
Concur Expense,株式会社コンカー,IT/通信/インターネット系,東京都中央区銀座6丁目10-1 GINZA SIX 8F,4.5億円,三村真宗,201～300人,https://www.concur.co.jp/,2010年10月,['Concur Invoice']
ジョブカン経費精算,株式会社DONUTS,IT/通信/インターネット系,東京都渋谷区代々木2丁目2-1 小田急サザンタワー8階 【大阪オフィス】大阪府大阪市浪速区元町1-5−7 ナンバプラザビル,"7,777万円",西村 啓成,301～500人,http://www.donuts.ne.jp/,2007年2月,"['ジョブカン勤怠管理', 'ジョブカンワークフロー', 'ジョブカン採用管理', 'ジョブカン労務HR', 'ジョブカン給与計算', 'ジョブカンApps', 'ジョブカン会計']"
RECEIPT POST,株式会社BEARTAIL,IT/通信/インターネット系,東京都千代田区神田駿河台2-2 御茶ノ水杏雲ビル 5階,100百万円,黒崎 賢一,51～100人,https://beartail.jp,2012年6月,"['【BOXILEXPO】株式会社BearTail _Dr.経費精算', 'INVOICE POST', 'INVOICE POST', '【BOXIL EXPO】株式会社BEARTAIL＿RECEIPT POST']"
経費精算freee,freee株式会社,IT/通信/インターネット系,東京都品川区西五反田２－８－１ 五反田ファーストビル９Ｆ,,,501～1000人,,,"['会計freee', 'クラウドERP freee', '人事労務 freee', '【BOXILEXPO】freee株式会社_労務勤怠_人事労務freee,クラウドERP freee']"
経費BankⅡ,ＳＢＩビジネス・ソリューションズ株式会社,IT/通信/インターネット系,東京都港区六本木一丁目６番１号 泉ガーデンタワー13階,,,51～100人,https://www.sbi-bs.co.jp/,,"['承認Time', '勤怠Reco']"
rakumoケイヒ,,,,,,,,,
